FilePath,freq_center_signal,bandwidth_signal,freq_center,sample_rate,is_channel,sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8,sample9,sample10,sample11,sample12,sample13,sample14,sample15,sample16,sample17,sample18,sample19,sample20,sample21,sample22,sample23,sample24,sample25,sample26,sample27,sample28,sample29,sample30,sample31,sample32,sample33,sample34,sample35,sample36,sample37,sample38,sample39,sample40,sample41,sample42,sample43,sample44,sample45,sample46,sample47,sample48,sample49,sample50,sample51,sample52,sample53,sample54,sample55,sample56,sample57,sample58,sample59,sample60,sample61,sample62,sample63,sample64
"\\192.168.1.41\signals\AsTests\Sattelite\WidebandGroups\LocalizerTests\04.06.2015 18_57_07_1212,98MHz 20722.2KHz.pcm",-4236070.0,505281.0,0.0,20722200.0,1,55.17153503364351,63.32326506547016,60.82362484938785,60.418832339721924,61.97851164862377,59.633028735870546,59.75645210216818,62.118226543772536,63.49056005954385,64.75117117506159,59.98364488026616,61.81833167839028,60.613500289645586,61.048369267120044,64.41053009120307,61.35436071072103,63.56360717626038,65.19594836969931,59.984853763473296,65.50928709261922,63.697445661576864,59.63521817090556,58.53299793541686,65.07096187509754,62.23175345042775,62.566695690043225,53.4441887084573,64.89245862577329,59.26137809071555,62.02426212817255,50.79270075219168,57.33462382689964,57.087610475707535,53.980046275810054,64.84185238379948,62.287685366028576,59.49538217794613,65.75930405910063,61.40146361305521,60.806790968054784,65.2064112705172,53.9618428862731,62.35517217346262,63.91664662336186,57.69424145187972,63.27302847788935,57.08777729554118,59.38277003410883,62.46886165240058,61.00867038648473,60.278094057855576,60.77953544887124,62.79845942457178,58.83113741852368,67.45099078140716,61.52979263170852,64.10960973089661,59.77670802941211,60.6540936545216,61.70799314905064,60.6466809654509,64.96879798972347,60.70589640690406,65.48635433672008
"\\192.168.1.41\signals\AsTests\Sattelite\WidebandGroups\LocalizerTests\04.06.2015 18_57_07_1212,98MHz 20722.2KHz.pcm",-3698220.0,564093.0,0.0,20722200.0,1,64.28152668701756,63.87528239146352,65.2803683508091,63.897139637064186,65.0751319847111,66.54175436540622,65.32668561967627,63.27578621732147,66.61463897643398,58.486183347565444,64.69033497777059,62.37013169755449,62.417299838611044,59.525847097318945,60.60716407005178,62.0733100358967,60.66933837161697,59.76244567246368,61.64427994989657,61.604968164300935,57.085244076649744,61.96075477229903,65.49926562344919,64.98342960168647,63.38844838299952,61.295133895511505,66.80279819905854,66.23317284940309,66.910709120535,63.83697995103019,61.47733738741282,64.84703012548947,66.28318850665951,63.20495359360629,66.2156817752439,61.53969308177988,65.8914067147741,58.112496458719434,60.73711798930586,63.65141096757856,66.19404982485894,66.22448340266973,62.79295848613916,64.89843640474801,61.207948919250306,64.4352563856618,54.745131420069875,63.3830398758328,62.36695750462949,60.96092411772979,58.7157744925596,64.06026975790954,63.984389475272955,61.6582070254254,64.85286816575291,56.00813142965077,65.55121426109409,66.92079014689018,61.79437465718337,63.3193351632019,64.48794785321738,65.31705445070357,64.53513629978022,62.8548530345125
"\\192.168.1.41\signals\AsTests\Sattelite\WidebandGroups\LocalizerTests\04.06.2015 18_57_07_1212,98MHz 20722.2KHz.pcm",-3169860.0,488839.0,0.0,20722200.0,1,64.13787454623916,59.97545065929313,64.38466827753678,58.80655079749707,62.78016611895187,64.81351147817121,59.96209437235091,54.714244510572655,65.92694226388994,62.80375026831351,60.29312467431181,66.14795715320737,63.56175255010079,65.75151865726113,64.17689299843212,59.552452031713756,63.35535458820786,65.87081227003193,65.62614962951481,64.26824751638586,63.46760129507551,63.7619131654434,65.76270275945404,65.03868995496471,62.189759680760616,60.22969562647461,57.959997810246875,64.87462277818592,65.72939033384677,55.90747117153788,55.10087263800213,65.73421750779588,61.66950078253077,63.703365965102606,58.52295747657158,61.52434887666631,60.45950537190884,64.55978746664945,67.03612408022727,63.74842993982173,61.11305203984604,64.23450125796779,64.61829878704519,61.553187892030095,65.10068198575237,65.70728145059793,65.60795663051583,61.286897582103265,63.216951771941496,65.88943885328875,64.27578078476076,60.390757875470015,62.875703447615464,64.58182948814921,64.93889407353218,65.09122605079267,64.7189327210191,62.585014999779425,65.18204650018875,61.85116349803056,62.99999750083062,63.16499580391395,57.91981024949819,64.65212759203852
"\\192.168.1.41\signals\AsTests\Sattelite\WidebandGroups\LocalizerTests\04.06.2015 18_57_07_1212,98MHz 20722.2KHz.pcm",-2640230.0,566623.0,0.0,20722200.0,1,63.59504705828263,66.6908243078504,62.34805427225554,59.10079628617861,61.92873474449283,58.836630795580305,64.13319149848303,60.47690214777432,64.94743862952534,60.29462244782764,64.4916475967222,63.55814455534197,64.33278542696524,60.15418758151768,63.627346359246346,55.674859988983265,58.26625214030729,62.0630516769043,65.40187961957405,66.07280671185246,61.71862766819463,61.072864825278245,63.61692486354482,64.64549245438432,62.5052288021159,61.34668826995824,61.377067605800626,64.03802041181248,54.17277652559598,61.49033185513431,60.5224273131891,63.83996905655961,64.69365094192766,61.86314973996761,65.75964638701358,61.43885720506209,62.49790536245992,62.06019034209109,64.42746428364131,65.70562657011773,63.866523633322174,65.4669701562521,59.28320934470267,59.242574683394544,61.25578688000382,61.19571847390246,65.03578459419639,63.03987778022063,58.97931458890554,59.79933408677563,60.284287868367045,65.59230730126026,63.02890227857128,59.47445639427171,61.46271975261872,64.25311872457522,62.8404751856256,62.93958651534223,60.485542625968236,61.0501748950783,63.98385727394897,59.508734186831944,63.55432848137315,65.01311785395926
"\\192.168.1.41\signals\AsTests\Sattelite\WidebandGroups\LocalizerTests\04.06.2015 18_57_07_1212,98MHz 20722.2KHz.pcm",-2111870.0,483779.0,0.0,20722200.0,1,63.86477005827068,65.25287764342801,65.5432279579804,59.37526349762767,61.72873292502382,64.9546213600769,66.01125055568697,62.120951282364814,64.12713300660145,62.31466462813693,56.21355442808208,62.287223938407266,62.48484681928019,64.15537521709979,60.41763593500085,58.84667666022472,64.72648212934013,57.355066193004674,56.29792651126081,58.062799556571676,64.3645622392088,61.65609326368567,63.78709253524357,64.78816418083632,65.08395701736532,63.42632738816902,61.58705767935576,62.722871617098974,59.65278185169083,63.54749867413402,64.2150144584882,61.585677882440486,63.07687110560031,64.42508388791158,62.25144555399757,62.20736213998212,61.6073398399527,62.25999420045788,63.91020339464386,63.87636450269842,59.626394097772106,63.462083145519316,57.37893222533984,64.40786377402715,64.8931283381299,67.8185627714852,61.180150237069846,62.48598026739154,59.336926191897,60.24794029677881,65.4892789927438,58.23169940889683,65.02664745813773,63.129040154323775,58.09950257840327,59.50340949091333,57.256617555396694,61.30394847262413,59.702032721838314,63.21158647458465,64.22753542074784,63.15557304376916,62.476221232168314,62.28537378039144
"\\192.168.1.41\signals\AsTests\Sattelite\WidebandGroups\LocalizerTests\04.06.2015 18_57_07_1212,98MHz 20722.2KHz.pcm",-1580660.0,574844.0,0.0,20722200.0,1,63.363408329110584,62.365625450249986,63.04193754546732,60.01158366375549,63.68811018981809,54.60427956236379,56.97807309312152,64.17077438284038,62.77125787222448,63.088843671167105,64.5273575096759,60.87756348978878,64.92165226472412,66.77609010780282,60.0686463342341,58.463985229886404,62.245192629527885,55.70633986697828,63.19648484840514,62.87457117036732,63.10560969123422,63.462605866584035,62.11584184741048,63.55155446789131,62.29573282293828,64.84760563555412,52.09185889494381,55.91762259554243,65.37049877233704,67.67075330686458,57.81987652945667,65.08210459054312,61.63112547395673,58.29036643330656,63.5426515556581,65.7946978759924,64.41279994563126,62.84098373277112,58.03104561618595,62.61643281563809,63.78421713571562,62.2987708559019,61.6114103611412,63.766603741056265,63.29429335749258,62.273523822352246,64.09005233177578,59.665263743529465,61.56818564127444,49.39864383342915,65.11587845213653,63.91144135675453,62.13528872460644,66.83563895508775,54.04931581792151,61.40344486182442,62.141141118594376,54.75417139507353,64.1527317243936,63.666386910652754,62.85522498584443,66.25984322845349,63.752537316367736,57.56838756310435
"\\192.168.1.41\signals\AsTests\Sattelite\WidebandGroups\LocalizerTests\04.06.2015 18_57_07_1212,98MHz 20722.2KHz.pcm",-694682.0,1195850.0,0.0,20722200.0,1,60.72217702279718,64.03949183102438,65.92005098943406,61.130748518348845,63.42393898372067,61.697573882005294,64.63632021432791,55.52086282653971,66.74026367134634,64.01347280709042,64.20048825928099,61.30632107161068,61.81991476849354,66.9470455531852,61.11454433576871,61.93825732007794,64.02675260669226,64.48039339426072,62.93397939290264,61.01702325056533,61.13949860683677,57.00204568636116,63.97054710563242,59.76438256309186,62.651884184534595,62.679558542484315,60.915670373753166,64.53894703597877,59.358456051900774,64.34923838547648,52.84556720007917,65.21425422559129,62.86339985116517,64.3234400536364,64.71707808760587,57.60223186166118,58.71183518538892,49.827157048105555,62.90557518140484,64.17371944161168,58.281446666421004,64.696656898482,65.0363576049533,62.70034367820913,61.4939095623751,59.023037274775774,61.17872797621506,64.27266534552894,65.01096101668539,64.41609238610117,64.0297383551653,61.42897551334012,63.26540252299984,61.9324129481446,65.02461704842521,65.39261927158702,65.20349665257407,61.52649150294728,66.31690833746441,61.691749905763906,62.12787452022024,63.040043948552764,61.08465181381849,60.90070794235319
"\\192.168.1.41\signals\AsTests\Sattelite\WidebandGroups\LocalizerTests\04.06.2015 18_57_07_1212,98MHz 20722.2KHz.pcm",532157.0,1237590.0,0.0,20722200.0,1,65.39630300924881,65.79779547925749,63.64939938194106,64.68776934605346,60.70375832023203,63.104113434501755,64.59224003646244,60.659428071888485,61.16632698683168,64.13538709801682,58.45450577953517,65.76529963884732,63.35412285343302,64.4240379269555,62.59447756694675,64.5078588264732,65.42834792282684,62.6589799855168,64.24340035506215,65.06006184450983,61.0121440198596,63.06613617596544,66.99492510269641,58.707188939318556,65.60868541969799,61.4426955070213,64.87956866030314,62.34439652696118,60.074270194545285,62.28307511321215,62.26918211347122,62.26236424848543,66.78660244488249,59.58254619671642,65.70656396504606,58.57363584436463,62.49560864047686,65.43103612344396,58.8727440684096,65.20407905548771,65.69213061777246,60.739547003275106,65.58580071709721,63.496624925721505,64.96161532369653,62.50181052750377,60.23063401858706,62.794324560691955,63.964585416894224,63.780895795665806,64.77761333211387,62.14712384316095,66.10334108946441,57.837643059932724,51.89722918219064,56.26976718988236,63.117668922903036,61.55261820430869,65.19642156376595,65.75556528432136,62.40701837536868,63.58087054334878,56.52475878129512,64.00728065258835
"\\192.168.1.41\signals\AsTests\Sattelite\WidebandGroups\LocalizerTests\04.06.2015 18_57_07_1212,98MHz 20722.2KHz.pcm",1401380.0,478088.0,0.0,20722200.0,1,62.65231568174836,61.620084844285785,65.31424851157428,52.608163660491265,61.595639324116476,62.373442024028876,60.40675288970181,62.808870791922445,64.37758367808037,62.65339416902848,65.45170583476852,62.15364288080864,59.30878058842863,62.82164748719115,61.666279894212906,64.03806384326535,64.27294457632348,64.14894032244246,56.22278052560878,65.03037588371097,64.48697657448645,64.15590178975822,63.609023218807586,57.87439092845665,57.30229939167589,60.28808233128068,61.39869968019076,63.78317823890015,62.14818467194205,65.27856532215876,64.20319083365514,64.85944460729742,66.94612851277861,60.65166597816546,60.67049716304524,65.26903690704523,65.32425862213879,63.88912563480932,63.810448061724976,65.09428077919034,58.83166821905089,64.00365631254125,62.985454070385984,64.59655835496221,66.4937642602868,58.52025250087942,63.495749643539384,66.80182595829238,63.54474875273044,65.71750547231795,59.64174970110537,67.3192502581903,61.45255877672946,64.38465073736124,64.70555975375672,65.11728328707996,60.33376064427279,65.15334072468882,62.14374202693374,64.7882061033808,61.60119844638051,63.47601596552127,64.35356871839792,65.65914568792608
"\\192.168.1.41\signals\AsTests\Sattelite\WidebandGroups\LocalizerTests\04.06.2015 18_57_07_1212,98MHz 20722.2KHz.pcm",1939540.0,586859.0,0.0,20722200.0,1,61.58373426438273,59.492263101489925,60.01774024685002,64.47673226724558,60.11665171091879,62.07755460317837,63.97182151115334,61.19850304053312,59.58636709285474,66.30425378951199,59.231964798521936,57.89548748425074,67.54106936189798,63.36905322786087,64.17037670535329,61.365475671905294,64.14580930968428,65.118533856878,64.44857832472847,62.37041574002815,62.28103946492885,64.2977423929709,57.318675672408574,59.08337195697329,64.96733955956186,58.89836028516763,60.45365576475861,62.689929846764244,61.35356273916934,61.074478339986804,59.73626822814463,60.54491903675376,58.04108489653922,63.23197383051585,63.86593681914013,64.4888375519604,63.462583430437654,57.61885438040479,62.93518120819765,57.828914083019434,63.88588833597544,57.768032622065554,64.4254464539184,62.26245672914685,61.6190856956564,61.17099149919268,62.880154561203625,62.958792906302335,62.98927385949034,62.709399879662215,62.19768214210699,59.51552382033162,65.5979783875667,66.02208632874269,63.99204455442904,63.65769540635749,61.7234270859693,65.75962865114542,59.73508851911532,63.231012227893956,65.39467285324761,56.50673541402358,59.69260199171637,58.07110569374839
